Intent,Pattern,Response
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Sanaria and similar sweetening products; imported only with the authorization of the Ministry of Health
More Info:  
Last Updated: 2020-05-27 16:06:51"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Species of fish for aquaculture and quilapia type fish
More Info:  
Last Updated: 2020-05-27 16:08:01"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Weapons and ammunition
More Info:  
Last Updated: 2020-05-27 15:27:28"
prohibited_items,What items are prohibited in AG?,"Restriction Type: N
Details: Please check on the destination customs website; for any other restrictions and prohibitions
More Info: http://customs.gov.ag/customs-procedures/goods-requiring-import-license/
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: P
Details: SENASA (National Service of Health and Agrifood Quality): prohibition of the importation of merchandise not contemplated in other specific Customs norms. This includes fresh fruit in bulk, sorghum halapense seeds, topsoil or soil alone, vegetables (including bulbs and tubers) that have soil attached to their roots, potted plants, rosaceae pollen.
More Info: https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-5397-2023-387810 
Last Updated: 2024-11-08 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: P
Details: Dangerous goods: firearms, explosives, oxidizing materials, poisons
More Info: https://www.correoargentino.com.ar/Mercaderiaspeligrosas
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: P
Details: Items prohibited without the declared values: valuable objects (works of art, etc.), bearer securities (checks, stocks, bonds, etc.), paper money, metal coins (platinum, gold or silver, manufactured or not), precious stones (precious stones, diamonds, emeralds, etc.)
More Info: https://www.correoargentino.com.ar/Mercaderiaspeligrosas
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: P
Details: Please check on the destination customs website; for any other restrictions and prohibitions
More Info: https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-5397-2023-387810/texto
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: P
Details: Perishable goods: meat, fruit, fish, shellfish, vegetables, eggs, dairy products, etc.
More Info: https://www.correoargentino.com.ar/Mercaderiaspeligrosas
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: R
Details: Living animals or living plant species
More Info: https://www.correoargentino.com.ar/Mercaderiaspeligrosas
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: R
Details: Asbestos
More Info: https://www.correoargentino.com.ar/Mercaderiaspeligrosas
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: R
Details: Drugs, narcotics or narcotics
More Info: https://www.correoargentino.com.ar/Mercaderiaspeligrosas
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: R
Details: Liquids (non-flammable) and easily liquefiable materials
More Info: https://www.correoargentino.com.ar/Mercaderiaspeligrosas
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: R
Details: Colored and non-coloring dry powders
More Info: https://www.correoargentino.com.ar/Mercaderiaspeligrosas
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: R
Details: Semi-perishable (hard cheeses, fats, resins, substances with strong aromas)
More Info: https://www.correoargentino.com.ar/Mercaderiaspeligrosas
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: R
Details: Biological material
More Info: https://www.correoargentino.com.ar/servicios/paqueteria/condiciones-de-embalaje
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: R
Details: Radioactive material
More Info: https://www.correoargentino.com.ar/servicios/paqueteria/condiciones-de-embalaje
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AR?,"Restriction Type: R
Details: Paints, varnishes and similar substances
More Info: https://www.correoargentino.com.ar/servicios/paqueteria/condiciones-de-embalaje
Last Updated: 2024-10-04 00:00:00"
prohibited_items,What items are prohibited in AM?,"Restriction Type: P
Details: Alcoholic beverages from trademarks registered in the Republic of Armenia and subject to labeling; but not labeled.
More Info:  
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AM?,"Restriction Type: P
Details: All kinds of wastes; except those having the positive conclusion of the Ministry of Industry and Trade of the Republic of Armenia and wastes imported on the basis of the permission issued by the Ministry of Nature Protection of the Republic of Armenia.
More Info:  
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AM?,"Restriction Type: P
Details: Expired goods
More Info:  
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AM?,"Restriction Type: P
Details: Items representing historic; cultural and archeological values
More Info:  
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AM?,"Restriction Type: P
Details: Materials containing a secret of state
More Info:  
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AM?,"Restriction Type: P
Details: Not-iodized edible salt for use in food
More Info:  
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AM?,"Restriction Type: P
Details: Please check on the destination customs website; for any other restrictions and prohibitions
More Info: https://www.petekamutner.am/
Last Updated: 2020-05-13 10:34:15"
prohibited_items,What items are prohibited in AM?,"Restriction Type: P
Details: Wood
More Info:  
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AM?,"Restriction Type: R
Details: Live wild animals
More Info:  
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AM?,"Restriction Type: R
Details: Medicines and medicinal preparations
More Info:  
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AM?,"Restriction Type: R
Details: Plants
More Info:  
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AM?,"Restriction Type: R
Details: Wild plants
More Info:  
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in AW?,"Restriction Type: P
Details: Please check on the destination customs website; for any other restrictions and prohibitions
More Info: https://www.douane.aw/en/
Last Updated: 2020-05-19 12:36:55"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: A wide range of food; plant and animal products; including the use of such products (such as straw and other plant materials) in the packing of parcels.
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2017-04-26 10:56:03"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Bean seed 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Cat and dog fur products
More Info: https://www.abf.gov.au/importing-exporting-and-manufacturing/prohibited-goods/list-of-items
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Celery seed 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Chickpeas
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Coriander seed
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Cucurbit seed 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Cultural Heritage objects
More Info: https://www.abf.gov.au/importing-exporting-and-manufacturing/prohibited-goods/list-of-items
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Cumin seed 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Dog collars with protrusions
More Info: https://www.abf.gov.au/importing-exporting-and-manufacturing/prohibited-goods/list-of-items
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Dried chillies/capsicum 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Faba bean 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Fennel seed
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Fresh meat
More Info: http://www.agriculture.gov.au/import/goods/food
Last Updated: 2021-01-24 17:18:08"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: From 1 March 2024 all vaping goods, including heat not burn tobacco products are prohibited imports. 
More Info: https://www.abf.gov.au/importing-exporting-and-manufacturing/prohibited-goods/list-of-items
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Hatching eggs
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: High Value Goods (including bullion and bank notes)
More Info: https://www.abf.gov.au/importing-exporting-and-manufacturing/prohibited-goods/list-of-items
Last Updated: 2019-05-31 11:15:49"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Items that are explosive; highly flammable; radioactive or otherwise dangerous.
More Info: http://www.auspost.com.au
Last Updated: 2019-12-17 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Kava (Piper methysticum)
More Info: https://www.odc.gov.au/publications/guidance-import-application-kava
Last Updated: 2017-04-26 10:57:08"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Lentils 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Lithium batteries
More Info: http://www.auspost.com.au
Last Updated: 2017-04-26 10:56:16"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Live animals
More Info: http://www.agriculture.gov.au/import/goods/live-animals
Last Updated: 2021-01-24 17:25:26"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Mung beans, cowpeas 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Ozone depleting substances and synthetic greenhouse gases
More Info: https://www.abf.gov.au/importing-exporting-and-manufacturing/prohibited-goods/list-of-items
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Pea seed 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Peanut
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Pesticides and other hazardous chemicals
More Info: https://www.abf.gov.au/importing-exporting-and-manufacturing/prohibited-goods/list-of-items
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Pigeon Pea 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Please check on the destination customs website; for any other restrictions and prohibitions
More Info: https://www.abf.gov.au/importing-exporting-and-manufacturing/prohibited-goods/list-of-items
Last Updated: 2019-05-31 11:16:18"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Pork floss
More Info: http://www.agriculture.gov.au/import/goods/food
Last Updated: 2021-01-24 17:51:15"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Pork jerky/biltong
More Info: http://www.agriculture.gov.au/import/goods/food
Last Updated: 2021-01-24 17:51:52"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Pork salami/sausages
More Info: http://www.agriculture.gov.au/import/goods/food
Last Updated: 2021-01-24 17:52:48"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Rice
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2021-01-24 17:57:07"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Rough Diamonds
More Info: https://www.abf.gov.au/importing-exporting-and-manufacturing/prohibited-goods/list-of-items
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Safflower seed 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Soybean 
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Tobacco products, including cigarettes and loose leaf tobacco are prohibited imports. This does not affect chewing tobacco and oral snuff in amounts up to 1.5kg and cigars.
More Info: http://www.abf.gov.au/tobacco
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: P
Details: Wheat
More Info: https://www.agriculture.gov.au/pests-diseases-weeds/plant/khapra-beetle/urgent-actions
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Agricultural machinery/Tools
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Alcoholic beverages are not subject to the durty free threshold of AUD 1000 and will incur duty and taxes. Where value exceeds AUD 1000; an Import Declaration is required. If the duty and GST on the alcohol products is not paid within 30 days of the payment advice; the goods may be returned to sender.
More Info: https://www.abf.gov.au/importing-exporting-and-manufacturing/prohibited-goods/list-of-items
Last Updated: 2019-05-31 11:15:38"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Allspice (pimenta)
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Almond
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Animal Equipment
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2019-12-17 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Animal hormones
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Animal products
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2021-01-24 17:03:36"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Animal Tissues/Fluids/Urine/Faeces
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2021-01-24 17:04:06"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Antler/Bone/Horn
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2019-12-17 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Apple
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Apricot
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Aquaculture feed and aquatic meals
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Asparagus
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Avocado
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Banana
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Banana leaf/fibre
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Bark
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2021-01-24 18:18:39"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Barley
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Beans
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Bee products
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2021-01-24 17:06:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Betel nut
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Birds nest
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2019-12-17 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Birdseed
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2024-03-28 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Black fungus (Auricularia)
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Blueberry
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-08-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Bonsai
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Brazil nut
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Broccoli/Cauliflower/Cabbage
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-09-05 00:00:00"
prohibited_items,What items are prohibited in AU?,"Restriction Type: R
Details: Butter
More Info: https://bicon.agriculture.gov.au/BiconWeb4.0/ImportConditions/Search/
Last Updated: 2022-09-05 00:00:00"
